Verb,VerbMeaning,A1,A1Sem,A2,A2Sem,A3,A3Sem,A4,A4Sem,A5,A5Sem,Meaning
выполнять,2.1,NO_Nom,человек,NO_Acc,объект,в_Loc,материал,-,-,-,-,А1 выполнил А2 из А3 ‘Человек А1 изготовил объект А2 из материала А3’.
выполнять,2.2,NO_Nom,человек,NO_Acc,изображение-надпись,NO_Ins,инструмент,NO_Ins,средство,на_Loc,поверхность объекта,А1 выполнил А2 с помощью A3 на А5 ‘Человек А1 сделал изображение или надпись А2 на поверхности объекта А5 средством А4 с помощью инструмента А3’.
выражать,1.1,NO_Nom,человек,NO_Acc,внутреннее состояние,NO_Ins,движение-часть тела,-,-,-,-,"А1 выразил А2 с помощью A3 ‘Внутреннее состояние А2 человека А1 стало доступным для восприятия, потому что человек А1 сделал движение А3 или движение частью А3 своего тела, которое является признаком того, что А1 находится в состоянии А2’ [чаще о контролируемом чело веком выражении внутреннего состояния]."
выражать,1.1,NO_Nom,человек,NO_Acc,внутреннее состояние,в_Loc,движение-часть тела,-,-,-,-,"А1 выразил А2 с помощью A3 ‘Внутреннее состояние А2 человека А1 стало доступным для восприятия, потому что человек А1 сделал движение А3 или движение частью А3 своего тела, которое является признаком того, что А1 находится в состоянии А2’ [чаще о контролируемом чело веком выражении внутреннего состояния]."
выражать,1.1,NO_Nom,человек,NO_Acc,внутреннее состояние,на_Loc,движение-часть тела,-,-,-,-,"А1 выразил А2 с помощью A3 ‘Внутреннее состояние А2 человека А1 стало доступным для восприятия, потому что человек А1 сделал движение А3 или движение частью А3 своего тела, которое является признаком того, что А1 находится в состоянии А2’ [чаще о контролируемом чело веком выражении внутреннего состояния]."
выражать,1.2,NO_Nom,внешний вид-часть тела,NO_Acc,свойство-состояние,-,-,-,-,-,-,"А1 выразил А2 ‘Внешний вид части А1 тела чело века сделал доступным для восприятия то, что он находится в эмоциональном состоянии А2 или имеет свойство А2’ [чаще о неконтролируемом человеком выражении внутреннего состояния или свойства]"
выражать,2.1,NO_Nom,человек,NO_Acc,информация-состояние,NO_Dat,человек,NO_Ins,средство-слова,-,-,"А1 выразил А2 человеку A3 с помощью А4 ‘Чело век А1 сказал А4 или совершил условное действие А4, чтобы сообщить человеку А3 информацию А2, обычно о своем эмоциональном или ментальном состоянии’"
выражать,2.1,NO_Nom,человек,NO_Acc,информация-состояние,NO_Dat,человек,с помощью_Gen,средство-слова,-,-,"А1 выразил А2 человеку A3 с помощью А4 ‘Чело век А1 сказал А4 или совершил условное действие А4, чтобы сообщить человеку А3 информацию А2, обычно о своем эмоциональном или ментальном состоянии’"
выражать,2.1,NO_Nom,человек,NO_Acc,информация-состояние,NO_Dat,человек,в_Loc,средство-слова,-,-,"А1 выразил А2 человеку A3 с помощью А4 ‘Чело век А1 сказал А4 или совершил условное действие А4, чтобы сообщить человеку А3 информацию А2, обычно о своем эмоциональном или ментальном состоянии’"
выражать,2.2,NO_Nom,человек,NO_Acc,мысль-чувство,NO_Ins,объект,-,-,-,-,"А1 выразил А2 в A3 ‘Человек А1, создав объект А3 или использовав готовый объект А3, выразил в нем мысль или чувство А2’ [часто о художественных произведениях в роли А3]"
выражать,2.2,NO_Nom,человек,NO_Acc,мысль-чувство,в_Loc,объект,-,-,-,-,"А1 выразил А2 в A3 ‘Человек А1, создав объект А3 или использовав готовый объект А3, выразил в нем мысль или чувство А2’ [часто о художественных произведениях в роли А3]"
выражать,2.2,NO_Nom,человек,NO_Acc,мысль-чувство,через_Acc,объект,-,-,-,-,"А1 выразил А2 в A3 ‘Человек А1, создав объект А3 или использовав готовый объект А3, выразил в нем мысль или чувство А2’ [часто о художественных произведениях в роли А3]"
выражать,3,NO_Nom,информационный объект,NO_Acc,информация,-,-,-,-,-,-,А1 выражает А2 ‘Информационный объект А1 содержит или способен содержать информацию А2’
